ref,Site Address,Proposal,Total units on devt,Ward,Parish,Deed Ref,Deed Type,Date Signed,RSL,Tenure,No of units for this mix type,% AH of total units for permission,Mix type
05-AP-2502,"Castle House, 2-20 Walworth Road, London, SE1 6SP","The erection of a 43 storey (147 metres) building with retail, restaurant with takeaway use (Use Class A1/A3/A5) on the ground and first floor and 399 residential units above, and a four storey (17 metres) pavilion building with retail, restaurant or takeaway use (Use Class A1/A3/A5) on the ground floor and 9 residential units above, associated landscaping and public open space, with parking and servicing facilities to the rear and at basement level.",399.00,Newington Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/06/2006,TO BE CONFIRMED,Shared Own,37,9.27,2 Bed
05-AP-2502,"Castle House, 2-20 Walworth Road, London, SE1 6SP","The erection of a 43 storey (147 metres) building with retail, restaurant with takeaway use (Use Class A1/A3/A5) on the ground and first floor and 399 residential units above, and a four storey (17 metres) pavilion building with retail, restaurant or takeaway use (Use Class A1/A3/A5) on the ground floor and 9 residential units above, associated landscaping and public open space, with parking and servicing facilities to the rear and at basement level.",399.00,Newington Ward (BBW),"Borough, Bankside and Walworth",Variation 1,Variation,15/08/2007,TO BE CONFIRMED,Shared Own,37,9.27,2 Bed
05-AP-2502,"Castle House, 2-20 Walworth Road, London, SE1 6SP","The erection of a 43 storey (147 metres) building with retail, restaurant with takeaway use (Use Class A1/A3/A5) on the ground and first floor and 399 residential units above, and a four storey (17 metres) pavilion building with retail, restaurant or takeaway use (Use Class A1/A3/A5) on the ground floor and 9 residential units above, associated landscaping and public open space, with parking and servicing facilities to the rear and at basement level.",399.00,Newington Ward (BBW),"Borough, Bankside and Walworth",Variation 2,Variation,15/10/2008,TO BE CONFIRMED,Shared Own,37,9.27,2 Bed
05-AP-2502,"Castle House, 2-20 Walworth Road, London, SE1 6SP","The erection of a 43 storey (147 metres) building with retail, restaurant with takeaway use (Use Class A1/A3/A5) on the ground and first floor and 399 residential units above, and a four storey (17 metres) pavilion building with retail, restaurant or takeaway use (Use Class A1/A3/A5) on the ground floor and 9 residential units above, associated landscaping and public open space, with parking and servicing facilities to the rear and at basement level.",399.00,Newington Ward (BBW),"Borough, Bankside and Walworth",Variation 3,Variation,27/09/2010,TO BE CONFIRMED,Shared Own,37,9.27,2 Bed
05-AP-2617,"89 SPA ROAD & SITE D BERMONDSEY SPA BOUNDED BY SPA ROAD, ENID STREET, ROUEL ROAD & NECKINGER ESTATE, LONDON, SE16 3SG","Erection of building extending to between 4 and 8 storeys in height to provide 138 new dwellings (38 social rented units, 31 shared ownership units and 69 private units) and 300m of commercial space (use classes A1, A2, and D1), together with the provision of associated car parking, landscaping, infrastructure works and improvements to the existing playground area.",138.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,13/09/2007,TO BE CONFIRMED,Shared Own,31,22.46,Not known
05-AP-2617,"89 SPA ROAD & SITE D BERMONDSEY SPA BOUNDED BY SPA ROAD, ENID STREET, ROUEL ROAD & NECKINGER ESTATE, LONDON, SE16 3SG","Erection of building extending to between 4 and 8 storeys in height to provide 138 new dwellings (38 social rented units, 31 shared ownership units and 69 private units) and 300m of commercial space (use classes A1, A2, and D1), together with the provision of associated car parking, landscaping, infrastructure works and improvements to the existing playground area.",138.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,13/09/2007,TO BE CONFIRMED,Social Rent,38,27.54,Not known
05-AP-2669,17-24 Magdalen Street SE1,Alteration during the course of construction of the scheme approved on 6/12/04 for the construction of 28 flats and commercial to now: include the construction of 2 additionl flats with offices (Class B1 Business Use) at ground and lower floors; including vehicular access to parking bays off Gibbons Rent.,28.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,08/11/2006,TO BE CONFIRMED,Shared Own,8,28.57,1 Bed Flat
05-AP-2669,17-24 Magdalen Street SE1,Alteration during the course of construction of the scheme approved on 6/12/04 for the construction of 28 flats and commercial to now: include the construction of 2 additionl flats with offices (Class B1 Business Use) at ground and lower floors; including vehicular access to parking bays off Gibbons Rent.,28.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,08/11/2006,TO BE CONFIRMED,Shared Own,1,3.57,2 Bed Flat
06-AP-0323,"SITES E, F, H, S & U BERMONDSEY SPA REGENERATION ARE - LAND BOUNDED BY JAMAICA ROAD, OLD JAMAICA RD, THURLAND RD, SPA RD, & ABBEY ST & ADJACENT LUPIN POINT, SE16","1) Proposed amendments during construction to the approved Phase 1 (Site E east) scheme, approved under refs. 04-AP-0102 (outline consent) & 04-AP-2190 (approval of reserved matters) to include removal of basement car parking and provision of undercroft parking; omitting car parking provision for phase 2 scheme; provision of communal raised courtyards above undercroft parking at first floor level; provision of 2 on-street car parking spaces in phase 1 instead of phase 2; amendments to design of maisionettes fronting onto south side of Old Jamaica Road, the north side of Spa Road and either side of Frean Street to accommodate proposed changes; various internal alterations to staircases and layout of basement; minor amendments to courtyard and flank elevations; removal of 3 units at ground floor level, increased number of units from 165 to 167, proposed changes to approved mix to provide 62 x 1 bed units, 65 x 2 bed units, 32 x 3 bed units, 4 x 4 bed units and 4 x 5 bed units, and minor amendments to housing entrances off Frean Street. 

 2) The incorporation into the development of the Rising Sun PH redevelopment scheme (approved under ref: 04-AP-2189) and subject to proposed amendments by way of application ref: 06-AP-0322.

3) Completion of a new Section 106 Agreement to supersede the earlier S.106 04-AP-0102.",167.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,21/09/2006,Hyde Housing Association,Not known,100,59.88,Not known
06-AP-0323,"SITES E, F, H, S & U BERMONDSEY SPA REGENERATION ARE - LAND BOUNDED BY JAMAICA ROAD, OLD JAMAICA RD, THURLAND RD, SPA RD, & ABBEY ST & ADJACENT LUPIN POINT, SE16","1) Proposed amendments during construction to the approved Phase 1 (Site E east) scheme, approved under refs. 04-AP-0102 (outline consent) & 04-AP-2190 (approval of reserved matters) to include removal of basement car parking and provision of undercroft parking; omitting car parking provision for phase 2 scheme; provision of communal raised courtyards above undercroft parking at first floor level; provision of 2 on-street car parking spaces in phase 1 instead of phase 2; amendments to design of maisionettes fronting onto south side of Old Jamaica Road, the north side of Spa Road and either side of Frean Street to accommodate proposed changes; various internal alterations to staircases and layout of basement; minor amendments to courtyard and flank elevations; removal of 3 units at ground floor level, increased number of units from 165 to 167, proposed changes to approved mix to provide 62 x 1 bed units, 65 x 2 bed units, 32 x 3 bed units, 4 x 4 bed units and 4 x 5 bed units, and minor amendments to housing entrances off Frean Street. 

 2) The incorporation into the development of the Rising Sun PH redevelopment scheme (approved under ref: 04-AP-2189) and subject to proposed amendments by way of application ref: 06-AP-0322.

3) Completion of a new Section 106 Agreement to supersede the earlier S.106 04-AP-0102.",167.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Variation,S106 Agreement,04/02/2011,Hyde Housing Association,Not known,100,59.88,Not known
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Aff Rent,6,6.74,1 Bed
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Shared Own,2,2.25,1 Bed
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Aff Rent,5,5.62,2 Bed
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Shared Own,3,3.37,2 Bed
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Aff Rent,8,8.99,3 Bed
06-AP-0341,"LAND AT GREAT SUFFOLK STREET INDUSTRIAL ESTATE, 5-7 BEAR LANE, LONDON, SE1 0UH","Demolition of existing buildings and erection of a new (maximum 8 storey, 28 metres high) building comprising of 89 dwellings, 776.5 sqm of general business floorspace (Class B1), 563.3 sqm of restaurant/bar (Class A3/A4), ancillary car parking (basement parking), servicing and amenity space and landscaping with vehicular access from Bear Lane.",89.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,31/12/2007,TO BE CONFIRMED,Shared Own,3,3.37,3 Bed
06-AP-0774,"272-274 & 294-304 CAMBERWELL ROAD, LONDON, SE5 0DL","Redevelopment of sites to provide two mixed-use buildings (at No's. 272-274, a 4 storey building; at No's. 294-304, a part 4 and part 7 storey building) comprising a total of 800 sq m of commercial floorspace and 60 apartments with associated car and cycle parking.",60.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,23/12/2008,TO BE CONFIRMED,Aff Rent,4,6.67,1 Bed Flat
06-AP-0774,"272-274 & 294-304 CAMBERWELL ROAD, LONDON, SE5 0DL","Redevelopment of sites to provide two mixed-use buildings (at No's. 272-274, a 4 storey building; at No's. 294-304, a part 4 and part 7 storey building) comprising a total of 800 sq m of commercial floorspace and 60 apartments with associated car and cycle parking.",60.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,23/12/2008,TO BE CONFIRMED,Shared Own,8,13.33,1 Bed Flat
06-AP-0774,"272-274 & 294-304 CAMBERWELL ROAD, LONDON, SE5 0DL","Redevelopment of sites to provide two mixed-use buildings (at No's. 272-274, a 4 storey building; at No's. 294-304, a part 4 and part 7 storey building) comprising a total of 800 sq m of commercial floorspace and 60 apartments with associated car and cycle parking.",60.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,23/12/2008,TO BE CONFIRMED,Aff Rent,6,10.00,2 Bed Flat
06-AP-0774,"272-274 & 294-304 CAMBERWELL ROAD, LONDON, SE5 0DL","Redevelopment of sites to provide two mixed-use buildings (at No's. 272-274, a 4 storey building; at No's. 294-304, a part 4 and part 7 storey building) comprising a total of 800 sq m of commercial floorspace and 60 apartments with associated car and cycle parking.",60.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,23/12/2008,TO BE CONFIRMED,Aff Rent,3,5.00,3 Bed Flat
06-AP-0796,"GROUND FLOOR,  SOUTH CITY COURT, PECKHAM GROVE, LONDON, SE15 6AN",Change of use of the ground floor from vacant commercial units into 15 self-contained flats; provision of 6 additional car parking spaces (to create 24 spaces in total).,15.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,05/02/2010,TO BE CONFIRMED,Not known,1,6.67,2 Bed
06-AP-0796,"GROUND FLOOR,  SOUTH CITY COURT, PECKHAM GROVE, LONDON, SE15 6AN",Change of use of the ground floor from vacant commercial units into 15 self-contained flats; provision of 6 additional car parking spaces (to create 24 spaces in total).,15.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,05/02/2010,TO BE CONFIRMED,Not known,2,13.33,2 bed wch/acc
06-AP-0796,"GROUND FLOOR,  SOUTH CITY COURT, PECKHAM GROVE, LONDON, SE15 6AN",Change of use of the ground floor from vacant commercial units into 15 self-contained flats; provision of 6 additional car parking spaces (to create 24 spaces in total).,15.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,05/02/2010,TO BE CONFIRMED,Not known,1,6.67,3 Bed
06-AP-1116,"BLOCKS A, B, C & D  27 GREEN WALK, LONDON, SE1 4TX","A retrospective planning application to retain three refurbished and extended buildings (Blocks A, B & C) and a new 5-storey Block (D) to provide a total of 189 residential units (171 private and 18 shared ownership units), 6681sqm of live work space, a basement car park for 185 cars and to provide 251 bicycle spaces and a residents garden to the east of the site with public access during daytime hours.",189.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,27/02/2009,Faithland Housing Association Limited,Shared Own,18,9.52,1 Bed Flat
06-AP-1116,"BLOCKS A, B, C & D  27 GREEN WALK, LONDON, SE1 4TX","A retrospective planning application to retain three refurbished and extended buildings (Blocks A, B & C) and a new 5-storey Block (D) to provide a total of 189 residential units (171 private and 18 shared ownership units), 6681sqm of live work space, a basement car park for 185 cars and to provide 251 bicycle spaces and a residents garden to the east of the site with public access during daytime hours.",189.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Supplemental Deed,Unilateral,28/10/2010,Faithland Housing Association Limited,Shared Own,18,9.52,1 Bed Flat
06-AP-1236,"VACANT  LAND AT 2-30 ST JAMES'S  ROAD, LONDON, SE16 4QR","Amendments to the previously approved scheme ref: 03-AP-2314 (and legal agreement thereto) for the development of vacant land at 2-30 St James' Road to provide two buildings (each part-4/part-6) fronting St James' Road for 1 day nursery, 49 no flats for residential accommodation including affordable housing, 1 no administration office and basement for part residential, plant and storage.",49.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,15/08/2008,TO BE CONFIRMED,Shared Own,2,4.08,1 Bed Flat
06-AP-1236,"VACANT  LAND AT 2-30 ST JAMES'S  ROAD, LONDON, SE16 4QR","Amendments to the previously approved scheme ref: 03-AP-2314 (and legal agreement thereto) for the development of vacant land at 2-30 St James' Road to provide two buildings (each part-4/part-6) fronting St James' Road for 1 day nursery, 49 no flats for residential accommodation including affordable housing, 1 no administration office and basement for part residential, plant and storage.",49.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,15/08/2008,TO BE CONFIRMED,Aff Rent,3,6.12,2 Bed Flat
06-AP-1236,"VACANT  LAND AT 2-30 ST JAMES'S  ROAD, LONDON, SE16 4QR","Amendments to the previously approved scheme ref: 03-AP-2314 (and legal agreement thereto) for the development of vacant land at 2-30 St James' Road to provide two buildings (each part-4/part-6) fronting St James' Road for 1 day nursery, 49 no flats for residential accommodation including affordable housing, 1 no administration office and basement for part residential, plant and storage.",49.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,15/08/2008,TO BE CONFIRMED,Aff Rent,4,8.16,3 Bed Flat
06-AP-1293,"LAND AT 170-176 GRANGE ROAD, LONDON, SE1 3BN","The erection of a  building on ground, first, second, third and fourth floors (five storeys) with part  basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",33.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/02/2010,TO BE CONFIRMED,Social Rent,3,9.09,1 Bed Flat
06-AP-1293,"LAND AT 170-176 GRANGE ROAD, LONDON, SE1 3BN","The erection of a  building on ground, first, second, third and fourth floors (five storeys) with part  basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",33.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/02/2010,TO BE CONFIRMED,Social Rent,4,12.12,2 Bed Flat
06-AP-1293,"LAND AT 170-176 GRANGE ROAD, LONDON, SE1 3BN","The erection of a  building on ground, first, second, third and fourth floors (five storeys) with part  basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",33.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/02/2010,TO BE CONFIRMED,Social Rent,1,3.03,3 Bed Flat
06-AP-1293,"LAND AT 170-176 GRANGE ROAD, LONDON, SE1 3BN","The erection of a  building on ground, first, second, third and fourth floors (five storeys) with part  basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",33.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/02/2010,TO BE CONFIRMED,Social Rent,1,3.03,3 bed wch/acc
06-AP-1293,"LAND AT 170-176 GRANGE ROAD, LONDON, SE1 3BN","The erection of a  building on ground, first, second, third and fourth floors (five storeys) with part  basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",33.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/02/2010,TO BE CONFIRMED,Social Rent,1,3.03,4 bed wch/acc
06-AP-1481,"BANKSIDE INDUSTRIAL  ESTATE,  118-122 SOUTHWARK STREET, 44 HOLLAND STREET & 47 HOPTON STREET,  SE1 0SW","Demolition of existing buildings and erection of five buildings, one 6 storey, two 12 storey, one 18 storey and one 24 storey, each with two basement levels, to provide 229 residential flats on the upper floors, with retail (Class A1, A2, &  A3) use at ground and basement levels; works of hard and soft landscaping including alterations to highways and access, with the provision of servicing areas and ancillary vehicle parking (92 car parking spaces) at land at Bankside Industrial Estate, 118 to 122 Southwark Street.
Laying out of an area of open space, including the option of construction of a small structure for community, cultural and/or recreational purposes (D1/D2) and/or any other purposes to facilitate and define use of the open space at the site of 44 Holland Street / 47 Hopton Street.",229.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",a Principal Deed,S106 Agreement,19/06/2007,TO BE CONFIRMED,Not known,1,0.44,Not known
06-AP-1481,"BANKSIDE INDUSTRIAL  ESTATE,  118-122 SOUTHWARK STREET, 44 HOLLAND STREET & 47 HOPTON STREET,  SE1 0SW","Demolition of existing buildings and erection of five buildings, one 6 storey, two 12 storey, one 18 storey and one 24 storey, each with two basement levels, to provide 229 residential flats on the upper floors, with retail (Class A1, A2, &  A3) use at ground and basement levels; works of hard and soft landscaping including alterations to highways and access, with the provision of servicing areas and ancillary vehicle parking (92 car parking spaces) at land at Bankside Industrial Estate, 118 to 122 Southwark Street.
Laying out of an area of open space, including the option of construction of a small structure for community, cultural and/or recreational purposes (D1/D2) and/or any other purposes to facilitate and define use of the open space at the site of 44 Holland Street / 47 Hopton Street.",229.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",b Deed of Modification 1,Variation,24/06/2010,TO BE CONFIRMED,Not known,1,0.44,Not known
06-AP-1481,"BANKSIDE INDUSTRIAL  ESTATE,  118-122 SOUTHWARK STREET, 44 HOLLAND STREET & 47 HOPTON STREET,  SE1 0SW","Demolition of existing buildings and erection of five buildings, one 6 storey, two 12 storey, one 18 storey and one 24 storey, each with two basement levels, to provide 229 residential flats on the upper floors, with retail (Class A1, A2, &  A3) use at ground and basement levels; works of hard and soft landscaping including alterations to highways and access, with the provision of servicing areas and ancillary vehicle parking (92 car parking spaces) at land at Bankside Industrial Estate, 118 to 122 Southwark Street.
Laying out of an area of open space, including the option of construction of a small structure for community, cultural and/or recreational purposes (D1/D2) and/or any other purposes to facilitate and define use of the open space at the site of 44 Holland Street / 47 Hopton Street.",229.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",c Deed of Modification 2,S106 Agreement,26/07/2011,TO BE CONFIRMED,Not known,1,0.44,Not known
06-AP-1481,"BANKSIDE INDUSTRIAL  ESTATE,  118-122 SOUTHWARK STREET, 44 HOLLAND STREET & 47 HOPTON STREET,  SE1 0SW","Demolition of existing buildings and erection of five buildings, one 6 storey, two 12 storey, one 18 storey and one 24 storey, each with two basement levels, to provide 229 residential flats on the upper floors, with retail (Class A1, A2, &  A3) use at ground and basement levels; works of hard and soft landscaping including alterations to highways and access, with the provision of servicing areas and ancillary vehicle parking (92 car parking spaces) at land at Bankside Industrial Estate, 118 to 122 Southwark Street.
Laying out of an area of open space, including the option of construction of a small structure for community, cultural and/or recreational purposes (D1/D2) and/or any other purposes to facilitate and define use of the open space at the site of 44 Holland Street / 47 Hopton Street.",229.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",g Deed of Modification 6,S106 Agreement,01/12/2014,TO BE CONFIRMED,Not known,1,0.44,Not known
06-AP-2183,"LAND AT 69-91(ODD) CAMBERWELL STATION ROAD AND 90-106 (EVEN) AND 108A WARNER ROAD , LONDON, SE5 9JZ",Redevelopment of the site to provide 83 residential units and 1663m of Class B1 (Office) floorspace in three separate buildings ranging in height between 3 storeys (9m) and 6 storeys (18.5m); Communal open space; Basement car parking and bicycle storage.,83.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,06/07/2007,TO BE CONFIRMED,Shared Own,8,9.64,Not known
06-AP-2183,"LAND AT 69-91(ODD) CAMBERWELL STATION ROAD AND 90-106 (EVEN) AND 108A WARNER ROAD , LONDON, SE5 9JZ",Redevelopment of the site to provide 83 residential units and 1663m of Class B1 (Office) floorspace in three separate buildings ranging in height between 3 storeys (9m) and 6 storeys (18.5m); Communal open space; Basement car parking and bicycle storage.,83.00,Camberwell Green Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,06/07/2007,TO BE CONFIRMED,Social Rent,17,20.48,Not known
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/06/2007,TO BE CONFIRMED,Aff Rent,2,2.22,1 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,25/03/2009,TO BE CONFIRMED,Aff Rent,2,2.22,1 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/06/2007,TO BE CONFIRMED,Aff Rent,7,7.78,2 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,25/03/2009,TO BE CONFIRMED,Aff Rent,7,7.78,2 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/06/2007,TO BE CONFIRMED,Aff Rent,8,8.89,3 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,25/03/2009,TO BE CONFIRMED,Aff Rent,8,8.89,3 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/06/2007,TO BE CONFIRMED,Aff Rent,1,1.11,4 Bed
06-AP-2272,"Larnaca Works, Grange Walk, London, SE1 3EW","Demolition of existing buildings and canopy structure and redevelopment to provide three buildings of between five (18m) and seven (24m) storeys in height comprising 1105m of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",90.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,25/03/2009,TO BE CONFIRMED,Aff Rent,1,1.11,4 Bed
07-AP-0202,"92 WEBBER STREET, LONDON, SE1 0QN","Demolition of existing building and construction of a part 4, 5, 6, 7, 8 storey building to provide a total of 75 dwellings, communal facility, communal gardens, landscaping and basement car parking (Amendments to planning permission 04-AP-0563).",75.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,10/09/2007,TO BE CONFIRMED,Aff Rent,4,5.33,1 Bed
